start	text
2095239	на автономный полёт,
2096639	что превратит его
2097380	в ещё один спутник-ретранслятор
2099600	на марсианской орбите.
2102060	А затем Гермес
2103720	приступит к первому
2105120	из заранее рассчитанных манёвров,
2107420	чтобы как можно быстрее
2108580	отправиться в свой долгий путь
2110120	до Земли,
2110680	чем раньше корабль
2111580	покинет орбиту Марса,
2113400	тем меньше времени и энергии
2114839	потребуется ему на эту дорогу.
2117440	Сначала МВМ покинула
2119080	Бет Йоханссон,
2120460	оператор компьютерных систем миссии,
2122759	а заодно и инженер-электронщик.
2125080	Её задачей было
2125940	осмотреть Гермес
2127100	и убедиться,
2128200	что самый дорогой корабль,
2129700	когда-либо построенный человечеством,
2131819	был готов к полёту.
2133740	В теории у неё должен был быть
2135319	напарник для помощи
2136400	с осмотром и проверками,
2138180	но обстоятельства изменились.
2140279	Далее вышел Александр Фогель
2141960	из Европейского космического агентства.
2144700	Химик и штурман миссии.
2146660	Немецкий учёный
2147460	толкал перед собой
2148360	один из двух пластиковых контейнеров
2150220	с образцами камня и почвы,
2152500	направляясь к научной лаборатории,
2154120	где образцы и будут храниться.
2156060	Это, строго говоря,
2158020	была не его обязанность,
2159759	но опять-таки
2160460	обстоятельства изменились.
2163200	Майор военно-воздушных сил США
2165279	Рик Мартинес,
2167200	пилот миссии
2168120	и второй после командира,
2169880	шёл следующим,
2171080	толкая второй контейнер
2172220	для образцов.
2173700	Мартинес был
2174380	главным шутником команды,
2176259	хотя и не приступал
2177200	определённых границ,
2178640	и обожал отыгрывать образ
2180000	стереотипного
2180720	бесшабашного лётчика.
2181860	Но сегодня он был настолько
2183920	мрачным и сосредоточенным,
2186400	что любой сержант был бы доволен.
2188740	Он спас МВМ от опрокидывания
2190580	во время невиданно мощной бури,
2192600	которая и заставила их
2193780	прервать миссию,
2195040	и он выполнит любые
2196060	орбитальные манёвры,
2197600	необходимые для отправки
2198840	Гермеса,
2199820	домой.
2201240	Что он при этом думал и чувствовал,
2203200	не должно было влиять на работу.
2205320	Наконец, неохотно появились
2206700	последние два члена экипажа.
2208560	Командир военно-морского флота США,
2211900	командир и геолог миссии
2213600	Мелисса Льюис
2214640	проплыла через шлюз,
2216660	а за ней следовал Крис Бек,
2218500	врач миссии
2219340	и специалист по наружным работам.
2221720	Льюис не сказала ни слова,
2223420	когда Фогель предложил
2224520	забрать образцы почвы
2225740	в лабораторию вместо неё.
2227680	Она вообще молчала
2228660	почти всё время
2229440	после приказа о старте МВМ.
2232140	Бек,
2232799	обеспокоенный
2233500	её психическим здоровьем,
2235460	решил держаться к ней поближе.
2236960	По крайней мере,
2238300	пока Гермес
2239140	не завершит орбитальный манёвр,
2241220	выводящий его к Земле манёвр,
2243480	который потребует
2244380	три витка вокруг Марса
2245760	и займёт большую часть дня.
2248380	Льюис едва замечала его,
2250540	и ей это было безразлично,
2252640	однако достаточно
2253540	осознавала ситуацию,
2255440	чтобы обеспокоиться
2256500	собственным безразличием.
2259100	«Мелисса», —
2260220	соберись упрекнула она себя,
2261960	«ты командир миссии,
2263920	и у тебя есть ещё
2264700	четыре других астронавта,
2266140	которых требуется
2267200	безопасно вернуть домой.
2268819	Они зависят от твоей собранности,
2270900	духа и морали.
2272120	Им нужна уверенность прямо сейчас,
2274140	а не капитан,
2274839	сунувший голову в песок».
2277080	Да уж.
2278240	Четыре других астронавта,
2280100	пять минус один.
2281620	Её мысли всё ещё
2282580	крутились вокруг
2283319	пустого шестого ложемента
2284819	в МВМ,
2285779	который был предназначен
2286879	для Марка Уотни,
2288100	инженера миссии
2289000	и ботаника.
2290480	Но Йоханссон видела,
2291700	как в Уотни
2292200	врезалась сорванная антенна.
2294140	Да и его биодатчик показал
2295560	отсутствие признаков жизни,
2297299	прежде чем Утай и сам умер.
2299460	Но это не оправдание.
2301339	Я должна была вернуть
2302420	пятерых астронавтов,
2303779	а не четырёх.
2304700	Я провалила свою задачу.
2307680	Странная авария.
2309379	Странный шторм.
2311060	Я нарушила протоколы миссии,
2313000	пытаясь найти его.
2314660	Я сделала всё возможное.
2316280	Но сделала ли я?
2319440	На самом деле сделала?
2321660	Я ведь могла сделать что-то ещё.
2324860	Я могла бы отдать приказ раньше.
2327420	Я могла бы заставить команду
2328880	держаться ближе друг к другу.
2331220	В конце концов,
2332480	я могла бы приказать всем
2333900	связаться одним тросом.
2336260	И на основании чего
2337440	ты бы всё это сделала?
2339380	У тебя не было возможности
